Name,Lat,Long
Perrache,4.825775197,45.74851766
Ampere,4.829149997,45.75289248
Bellecour,4.833684597,45.75782917
Cordeliers,4.835735368,45.7632335
Hotel de Ville,4.836309997,45.76739249
Foch,4.844211868,45.76865399
Massena,4.853069268,45.769345
Charpennes,4.862980339,45.77054769
Republique Villeurbanne,4.873648539,45.77058752
Gratte-Ciel,4.882467639,45.76903302
Flachet,4.889926668,45.7676514
Cusset,4.900290325,45.76563329
Laurent Bonnevay,4.908914568,45.76479422
Vaulx-en-Velin,4.922156997,45.76101229
Brotteaux,4.859313333,45.76681576
Gare Part-Dieu,4.857809268,45.76144249
Place Guichard,4.847686468,45.7593589
Saxe Gambetta,4.846960268,45.75381751
Jean Mace,4.842430197,45.74583378
Place Jean Jaures,4.837484295,45.7379987
Debourg,4.833637359,45.73132821
Stade de Gerland,4.830819297,45.72701199
Oullins Gare,4.814711797,45.71678078
Cuire,4.833340768,45.78588629
Henon,4.827372701,45.77915397
Croix-Rousse,4.831896317,45.77429174
Croix-Paquet,4.836235532,45.77093731
Gare de Vaise,4.805047968,45.78041849
Valmy,4.805617297,45.77458249
Gorge de Loup,4.805089032,45.76604425
Vieux Lyon,4.825767153,45.75995437
Guillotiere,4.842268291,45.7553735
Garibaldi,4.85399997,45.75156291
Sans-Souci,4.864380275,45.74797209
Monplaisir,4.871299075,45.74553933
Grange Blanchen,4.878850924,45.74293682
Laennec,4.886397639,45.73830667
Mermoz Pinel,4.887339268,45.73081248
Parilly,4.88755821,45.71951805
Gare de Venissieux,4.887959968,45.70521469
